Product Title,Product Sub Title,Manufacturer Name,Manufacturer Code,Item Code,Category A,Category B,Category C,Image A,Image A (500 x 500),Stock Quantity,Price
ARCTIC Alpine 11 Intel CPU Cooler for Quietness,"ARCTIC Alpine 11 Intel CPU Cooler for Quietness, Processor, Cooler, 9.2 cm, LGA 1156 (Socket H), Celeron D,Celeron Dual-Core,Core 2 Duo,Core 2 Extreme,Core 2 Quad,Core Duo,Core i3,Core i5,Core i7,P, 900 RPM",Arctic,UCACO-AP111-GBB01,ACO-AC-A11-REV2,Components,Cooling,CPU Coolers,http://www.e-cdn.co.uk/original-images/1594954.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/1594954.jpg,0,5.69
ARCTIC Alpine 11 GT Intel CPU Cooler for Quietness,"ARCTIC Alpine 11 GT Intel CPU Cooler for Quietness, Processor, Cooler, 8 cm, Intel: i5 - 680, 670, 660, 655K, 650; i3 - 560, 550, 540, 530; Core 2 Extreme - X6800; Core 2 Quad -, 330 g, 91 x 91 x 79 mm",Arctic,UCACO-AP112-GBB01,ACO-AC-A11GT-REV2,Components,Cooling,CPU Coolers,http://www.e-cdn.co.uk/original-images/1615155.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/1615155.jpg,0,4.26
"ARCTIC Alpine 11 PRO Rev.2 Intel Socket 1151, 1150, 1155, 1156, 775","ARCTIC Alpine 11 PRO Rev.2 Intel Socket 1151, 1150, 1155, 1156, 775, Processor, Cooler, 9.2 cm, LGA 1150 (Socket H3),LGA 1151 (Socket H4),LGA 1155 (Socket H2),LGA 1156 (Socket H),LGA 775 (Socket T, 500 RPM, 2000 RPM",Arctic,UCACO-AP110-GBB01,ACO-AC-A11PRO-REV2,Components,Cooling,CPU Coolers,http://www.e-cdn.co.uk/original-images/7812384.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/7812384.jpg,0,5.96
ARCTIC Alpine 20 PLUS CO Intel Socket LGA 2011,"ARCTIC Alpine 20 PLUS CO Intel Socket LGA 2011, Computer case, Fan, 9.2 cm, LGA 2011 (Socket R), 600 RPM, 2200 RPM",Arctic,UCACO-AP11401-BUA01,ACO-AC-A20-PLUS-CO,Components,Cooling,CPU Coolers,http://www.e-cdn.co.uk/original-images/1231393.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/1231393.jpg,61,9
ARCTIC Alpine 64 GT AMD CPU Cooler for Quietness,"ARCTIC Alpine 64 GT AMD CPU Cooler for Quietness, Processor, Cooler, 8 cm, AMD A,AMD E,Athlon,Athlon II X2,Athlon II X3,Athlon II X4,Athlon X2,Phenom II X3,Phenom II X4,Phenom, 500 RPM, 2000 RPM",Arctic,UCACO-P1600-GBA01,ACO-AC-A64GT,Components,Cooling,CPU Coolers,http://www.e-cdn.co.uk/original-images/1594973.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/1594973.jpg,53,3.65
"ARCTIC Alpine 64 PRO Rev.2 AMD Socket FM2, FM1, AM4, AM3+, AM3, AM2+, AM2, 939","ARCTIC Alpine 64 PRO Rev.2 AMD Socket FM2, FM1, AM4, AM3+, AM3, AM2+, AM2, 939, Processor, Cooler, 9.2 cm, Socket AM2+, Socket AM3+, Socket AM4, Socket FM1, Socket FM2+, 500 RPM, 2000 RPM",Arctic,UCACO-A64D2-GBA01,ACO-AC-A64PRO2,Components,Cooling,CPU Coolers,http://www.e-cdn.co.uk/original-images/7812411.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/7812411.jpg,0,6.18
ARCTIC Accelero Twin Turbo III Graphics Cards Cooler for Enthusiasts,"ARCTIC Accelero Twin Turbo III Graphics Cards Cooler for Enthusiasts, Video card, Cooler, 9.2 cm, 900 RPM, 2000 RPM, 2 fan(s)",Arctic,DCACO-V820001-GBA01,ACO-AC-ACCELERO-TT3,Components,Cooling,GPU Coolers,http://www.e-cdn.co.uk/original-images/1235860.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/1235860.jpg,0,30.04
ARCTIC F9 Pro PWM,"ARCTIC ARCTIC F9 Pro PWM, Processor, Fan, Black, White, Plastic, 86 g, 92 x 92 x 34 mm",Arctic,AFACO-09PP0-GBA01,ACO-AC-AF9PRPWM,Components,Cooling,Case Fans,http://www.e-cdn.co.uk/original-images/1615201.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/1615201.jpg,18,3.71
ARCTIC F12 3-Pin fan with standard case,"ARCTIC F12 3-Pin fan with standard case, Computer case, Fan, 12 cm, 650 RPM, 1350 RPM, 53 cfm",Arctic,AFACO-12000-GBA01,ACO-AC-ARF12,Components,Cooling,Case Fans,http://www.e-cdn.co.uk/original-images/7812436.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/7812436.jpg,0,2.45
ARCTIC F8 3-Pin fan with standard case,"ARCTIC F8 3-Pin fan with standard case, Computer case, Fan, 8 cm, 850 RPM, 2000 RPM, 31 cfm",Arctic,AFACO-08000-GBA01,ACO-AC-ARF8,Components,Cooling,Case Fans,http://www.e-cdn.co.uk/original-images/7812443.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/7812443.jpg,188,1.95
